,lattitude,longitude,city,country,max_temperature,humidity,wind_speed,cloud_percentage
48,-49.91315827666919,177.67780251732182,christchurch,nz,55.0,58,5.82,41
49,-46.489040325041564,167.78418572521326,riverton,nz,55.0,62,8.99,36
50,-49.43040779241824,128.66457909420092,port lincoln,au,72.57,31,19.06,5
51,-48.42582495856895,-127.39513085744483,rikitea,pf,72.46,80,20.09,1
52,-45.6053102554795,-103.42437221290099,castro,cl,48.2,45,11.41,44
53,-47.380028822270354,-128.632532013594,rikitea,pf,72.46,80,20.09,1
54,-49.34427604003026,89.64768407833094,busselton,au,43.0,71,11.95,8
55,-46.699240736285525,-126.42522909222717,rikitea,pf,72.46,80,20.09,1
56,-43.37035629337037,173.57183954839678,amberley,nz,55.0,58,5.82,68
57,-41.46547075888815,-94.51897789083077,ancud,cl,48.2,45,11.41,78
58,-44.842292615821755,21.091403505811655,bredasdorp,za,57.2,87,10.29,100
59,-43.23891619058203,-31.9900741686877,laguna,br,72.37,81,12.46,47
60,-40.55062596503603,74.00433606529339,mahebourg,mu,71.6,83,1.12,40
61,-41.695729298698666,-36.88889910531714,cidreira,br,67.42,93,7.74,100
62,-41.21685211805262,85.13221879569107,busselton,au,43.0,71,11.95,8
63,-42.4508764107752,-18.880312263858627,jamestown,sh,61.43,89,18.72,100
64,-40.62503782584999,-40.53175003028082,cidreira,br,67.42,93,7.74,100
65,-43.47795710339673,-26.619864894352332,arraial do cabo,br,89.6,59,9.17,0
66,-43.55342432337523,-86.62761452974001,castro,cl,48.2,45,11.41,44
67,-43.93122876497926,176.23304938862765,waipawa,nz,55.4,82,26.4,58
68,-44.563671485133604,36.344041239797974,east london,za,60.8,82,17.22,75
69,-44.72055857926814,93.61995331225017,busselton,au,43.0,71,11.95,8
70,-43.18619846718453,62.121901162178574,saint-philippe,re,71.6,78,2.24,34
71,-41.551934205838435,-28.193504070861707,arraial do cabo,br,89.6,59,9.17,0
72,-40.87430667295424,176.63259352250685,takapau,nz,51.01,71,10.0,19
73,-44.61470571166377,-76.66426519649166,castro,cl,48.2,45,11.41,44
74,-42.58776090548936,-68.6842866559011,san carlos de bariloche,ar,30.2,80,17.22,75
75,-36.40270414172468,-36.96776264963913,laguna,br,72.37,81,12.46,47
76,-38.07561910424966,-14.100251751739052,jamestown,sh,61.43,89,18.72,100
77,-36.7776069415407,-87.54400932680527,lebu,cl,49.59,68,15.88,0
78,-35.89846896381932,147.15110363204332,albury,au,53.01,100,4.32,0
79,-39.11403954688099,-41.706335153603675,cidreira,br,67.42,93,7.74,100
80,-38.84784186573553,-77.02371375579483,lebu,cl,49.59,68,15.88,0
81,-35.597398562611254,19.33697448513408,hermanus,za,55.99,90,5.01,99
82,-36.172080956217506,-124.9168750838061,rikitea,pf,72.46,80,20.09,1
83,-37.68086205780415,91.79933409372853,busselton,au,43.0,71,11.95,8
84,-38.161191998212175,-65.82725329906155,general roca,ar,39.2,86,4.7,75
85,-38.541410086287954,-97.67028931476628,lebu,cl,49.59,68,15.88,0
86,-37.667671984000314,147.1595613704947,sale,au,70.0,47,2.46,0
87,-35.44462470842831,-34.12009895040748,arraial do cabo,br,89.6,59,9.17,0
88,-37.243869122615855,-11.602963391863227,jamestown,sh,61.43,89,18.72,100
89,-37.529465758408875,39.78701533124362,margate,za,59.58,87,16.28,100
90,-37.57127892102883,-66.87346249316181,general roca,ar,39.2,86,4.7,75
91,-36.715700996159114,-62.076363657476406,nueve de julio,ar,60.01,41,8.01,0
92,-31.90386511835763,176.28331551286055,russell,nz,48.99,90,5.01,100
93,-31.354052167844884,145.78435274952562,griffith,au,60.8,55,3.36,0
94,-32.46944161678701,-93.31910248225384,lebu,cl,49.59,68,15.88,0
95,-33.08338836125635,-18.97859643795462,jamestown,sh,61.43,89,18.72,100
96,-32.446594083594206,-73.08110760434323,valparaiso,cl,55.4,62,10.29,20
97,-31.96664834913426,169.5353302739938,ahipara,nz,51.42,87,5.82,95
98,-30.232962498276244,-81.01153809395686,coquimbo,cl,55.4,62,8.05,75
99,-31.49936142927252,35.660282401238675,richards bay,za,63.19,73,7.34,90
100,-34.615930127540665,-101.84157493010795,lebu,cl,49.59,68,15.88,0
101,-32.928953398330435,-26.695699641224024,sao joao da barra,br,89.6,46,13.87,0
102,-30.558220525126437,-9.11103082580837,jamestown,sh,61.43,89,18.72,100
103,-30.175745459653854,173.523744841738,kaeo,nz,48.99,90,5.01,98
104,-34.4248026195184,38.736499367742084,richards bay,za,63.19,73,7.34,90
105,-32.83413349611369,172.30268177359562,ahipara,nz,51.42,87,5.82,95
106,-32.4209314832589,158.08990428267566,port macquarie,au,53.01,100,5.77,6
107,-31.18135774406795,93.54647029692563,carnarvon,au,62.6,93,25.28,90
108,-31.5520664994963,142.25607409702098,broken hill,au,64.4,48,10.29,0
109,-25.50587101141746,162.42637976312352,poya,nc,65.12,82,7.29,13
110,-25.415769095089424,149.1927077216871,roma,au,61.77,45,9.13,0
111,-29.02791811713255,40.42746843710512,beloha,mg,67.39,70,10.78,33
112,-28.195006703129067,73.34882497192478,bambous virieux,mu,71.6,83,1.12,40
113,-29.290092422447863,-36.82833201852398,arraial do cabo,br,89.6,59,9.17,0
114,-25.29998879300334,103.21576865285141,carnarvon,au,62.6,93,25.28,90
115,-27.963398264438037,129.47820106324542,yulara,au,80.6,14,8.05,41
116,-25.075025763598568,-116.2171580239812,rikitea,pf,72.46,80,20.09,1
117,-25.596155633588292,162.62440633820825,poya,nc,65.12,82,7.29,13
118,-25.23596030760205,-72.83486046362069,taltal,cl,63.32,61,8.88,34
119,-26.10818602990883,22.11109284804226,tsabong,bw,63.55,27,8.08,0
120,-28.762338051209206,170.53256866908941,vao,nc,69.93,72,22.39,0
121,-25.78710961683562,162.0030781368307,poya,nc,65.12,82,7.29,13
122,-28.435891537217696,-137.9785392601834,rikitea,pf,72.46,80,20.09,1
123,-25.568205363953027,14.804913706207515,luderitz,na,58.35,72,10.18,0
124,-26.038640305555088,127.5132061571669,yulara,au,80.6,14,8.05,41
125,-26.917375102192437,127.05376054055529,yulara,au,80.6,14,8.05,41
126,-28.021730691067688,-19.27358317793511,jamestown,sh,61.43,89,18.72,100
127,-21.128608601843073,-174.75124565592108,vaini,to,73.4,88,10.29,75
128,-24.09057230205143,153.12151608787474,bundaberg,au,63.0,93,6.93,40
129,-23.77980923393312,-11.32291239385799,jamestown,sh,61.43,89,18.72,100
130,-21.356132296541137,-117.99715297842609,rikitea,pf,72.46,80,20.09,1
131,-21.874314511193433,98.6898290926984,carnarvon,au,62.6,93,25.28,90
